;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
0;750-67-8428;A;Sao Paulo;Member;Mulher;Saude e beleza;74,69;7;26,14;548,97;01/05/2019;13:08;PIX;522,83;4,761904762;26,1415;9,1
1;226-31-3081;C;Guarulhos;Normal;Mulher;Acessorios eletronicos;15,28;5;3,82;80,22;03/08/2019;10:29;Dinheiro;76,4;4,761904762;3,82;9,6
2;631-41-3108;A;Sao Paulo;Normal;Homem;Casa e estilo de vida;46,33;7;16,22;340,53;03/03/2019;13:23;Cartao de Credito;324,31;4,761904762;16,2155;7,4
3;123-19-1176;A;Sao Paulo;Member;Homem;Saude e beleza;58,22;8;23,29;489,05;1/27/2019;20:33;PIX;465,76;4,761904762;23,288;8,4
4;373-73-7910;A;Sao Paulo;Normal;Homem;Esportes e viagens;86,31;7;30,21;634,38;02/08/2019;10:37;PIX;604,17;4,761904762;30,2085;5,3
5;699-14-3026;C;Guarulhos;Normal;Homem;Acessorios eletronicos;85,39;7;29,89;627,62;3/25/2019;18:30;PIX;597,73;4,761904762;29,8865;4,1
6;355-53-5943;A;Sao Paulo;Member;Mulher;Acessorios eletronicos;68,84;6;20,65;433,69;2/25/2019;14:36;PIX;413,04;4,761904762;20,652;5,8
7;315-22-5665;C;Guarulhos;Normal;Mulher;Casa e estilo de vida;73,56;10;36,78;772,38;2/24/2019;11:38;PIX;735,6;4,761904762;36,78;8
8;665-32-9167;A;Sao Paulo;Member;Mulher;Saude e beleza;36,26;2;3,63;76,15;01/10/2019;17:15;Cartao de Credito;72,52;4,761904762;3,626;7,2
9;692-92-5582;B;Mogi das Cruzes;Member;Mulher;Alimentos e bebidas;54,84;3;8,23;172,75;2/20/2019;13:27;Cartao de Credito;164,52;4,761904762;8,226;5,9
10;351-62-0822;B;Mogi das Cruzes;Member;Mulher;Acessorios de Moda;14,48;4;2,9;60,82;02/06/2019;18:07;PIX;57,92;4,761904762;2,896;4,5
11;529-56-3974;B;Mogi das Cruzes;Member;Homem;Acessorios eletronicos;25,51;4;5,1;107,14;03/09/2019;17:03;Dinheiro;102,04;4,761904762;5,102;6,8
12;365-64-0515;A;Sao Paulo;Normal;Mulher;Acessorios eletronicos;46,95;5;11,74;246,49;02/12/2019;10:25;PIX;234,75;4,761904762;11,7375;7,1
13;252-56-2699;A;Sao Paulo;Normal;Homem;Alimentos e bebidas;43,19;10;21,6;453,5;02/07/2019;16:48;PIX;431,9;4,761904762;21,595;8,2
14;829-34-3910;A;Sao Paulo;Normal;Mulher;Saude e beleza;71,38;10;35,69;749,49;3/29/2019;19:21;Dinheiro;713,8;4,761904762;35,69;5,7
15;299-46-1805;B;Mogi das Cruzes;Member;Mulher;Esportes e viagens;93,72;6;28,12;590,44;1/15/2019;16:19;Dinheiro;562,32;4,761904762;28,116;4,5
16;656-95-9349;A;Sao Paulo;Member;Mulher;Saude e beleza;68,93;7;24,13;506,64;03/11/2019;11:03;Cartao de Credito;482,51;4,761904762;24,1255;4,6
17;765-26-6951;A;Sao Paulo;Normal;Homem;Esportes e viagens;72,61;6;21,78;457,44;01/01/2019;10:39;Cartao de Credito;435,66;4,761904762;21,783;6,9
18;329-62-1586;A;Sao Paulo;Normal;Homem;Alimentos e bebidas;54,67;3;8,2;172,21;1/21/2019;18:00;Cartao de Credito;164,01;4,761904762;8,2005;8,6
19;319-50-3348;B;Mogi das Cruzes;Normal;Mulher;Casa e estilo de vida;40,3;2;4,03;84,63;03/11/2019;15:30;PIX;80,6;4,761904762;4,03;4,4
